player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_rating,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
224232,2024-07-08,Nicolò Barella,Nicolò Barella,"Nicolò Barella (born 7 February 1997) is an Italian footballer who plays as a center midfield for Italian club Inter, and the Italy national team. In the game FC 24, his overall rating is 86.",https://cdn.sofifa.net/players/224/232/24_120.png,172,68,1997-02-07,CM,86,87,€79.5M,€135K,Right,3 ,3 ,3 ,High/High,Normal (170-),Yes,€137.1M,"Engine,Acrobat",44,Inter,31,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,83,RCM,23,2020-09-01,2026,1343,Italy,78,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,82,RCM,18,79,78,53,88,80,81,79,67,85,87,83,78,90,89,90,80,75,94,73,79,84,83,83,83,73,86,80,83,81,11,5,13,14,11,"Relentless +,Tiki Taka,Slide Tackle,Long Shot Taker (CPU AI)"
205452,2024-07-08,Antonio Rüdiger,Antonio Rüdiger,"Antonio Rüdiger (born 3 March 1993) is a German footballer who plays as a center back for Spanish club Real Madrid, and the Germany national team. In the game FC 24, his overall rating is 86.",https://cdn.sofifa.net/players/205/452/24_120.png,190,86,1993-03-03,CB,86,86,€55.5M,€220K,Right,3 ,2 ,3 ,High/High,Lean (185+),Yes,€113.8M,Strength,243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,RCB,22,2022-07-01,2026,1337,Germany,78,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,85,RCB,2,68,40,83,80,34,64,50,56,81,70,71,91,56,84,50,84,90,70,91,67,91,82,54,61,40,80,85,85,84,14,15,10,12,8,"Aerial +,Block"
186942,2024-07-08,İlkay Gündoğan,İlkay Gündoğan,"İlkay Gündoğan (born 24 October 1990) is a German footballer who plays as a center midfield for Spanish club FC Barcelona, and the Germany national team. In the game FC 24, his overall rating is 86.",https://cdn.sofifa.net/players/186/942/24_120.png,180,80,1990-10-24,"CM,CDM",86,86,€53.5M,€220K,Right,4 ,4 ,3 ,High/Medium,Normal (170-185),Yes,€109.7M,"Dribbler,Playmaker,Complete midfielder",241,FC Barcelona,53,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,84,RCM,22,2023-07-01,2025,1337,Germany,78,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,85,CAM,21,77,82,50,88,75,86,86,80,84,91,65,60,77,86,77,79,67,75,73,80,70,75,84,86,80,87,77,75,67,11,14,5,5,13,"Incisive Pass,Press Proven,Long Shot Taker (CPU AI),Injury Prone"
186153,2024-07-08,Wojciech Szczęsny,Wojciech Tomasz Szczęsny,"Wojciech Szczęsny (Wojciech Tomasz Szczęsny, born 18 April 1990) is a Polish footballer who plays as a goalkeeper for Italian club Juventus, and the Poland national team. In the game FC 24, his overall rating is 86.",https://cdn.sofifa.net/players/186/153/24_120.png,196,90,1990-04-18,GK,86,86,€22M,€125K,Right,3 ,1 ,3 ,Medium/Medium,Lean (185+),Yes,€37.4M,,45,Juventus,31,Serie A,https://cdn.sofifa.net/meta/team/625/30.png,80,GK,1,2017-07-19,2025,1353,Poland,78,Friendly International,https://cdn.sofifa.net/meta/team/18699/30.png,77,GK,1,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,70,45,65,14,40,15,14,48,18,65,20,13,12,86,83,73,86,87,"Long Ball Pass,Far Throw,Cross Claimer"
177003,2024-07-08,Luka Modrić,Luka Modrić,"Luka Modrić (born 9 September 1985) is a Croatian footballer who plays as a center midfield for Spanish club Real Madrid, and the Croatia national team. In the game FC 24, his overall rating is 86.",https://cdn.sofifa.net/players/177/003/24_120.png,172,66,1985-09-09,"CM,CAM,CDM",86,86,€21.5M,€175K,Right,4 ,4 ,4 ,Medium/Medium,Lean (170-185),Yes,€44.1M,"Playmaker,Crosser,Acrobat,Complete midfielder",243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,SUB,10,2012-08-01,2024,1328,Croatia,78,Friendly International,https://cdn.sofifa.net/meta/team/18588/30.png,79,RCM,10,86,72,55,90,76,84,85,78,90,90,75,70,92,85,92,79,67,76,58,82,62,79,76,90,83,91,70,73,72,13,9,7,14,9,"Trivela +,Incisive Pass,Long Ball Pass,Whipped Cross,Technical,Long Shot Taker (CPU AI),Team Player"
20801,2024-07-08,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"Cristiano Ronaldo (Cristiano Ronaldo dos Santos Aveiro, born 5 February 1985) is a Portuguese footballer who plays as a striker for Saudi Arabian club Al Nassr, and the Portugal national team. In the game FC 24, his overall rating is 86.",https://cdn.sofifa.net/players/020/801/24_120.png,187,85,1985-02-05,ST,86,86,€23M,€66K,Right,4 ,5 ,5 ,High/Low,Unique,Yes,€36.8M,"Distance shooter,Clinical finisher",112139,Al Nassr,350,Pro League,https://cdn.sofifa.net/meta/team/2506/30.png,75,ST,7,2023-01-01,2025,1354,Portugal,78,Friendly International,https://cdn.sofifa.net/meta/team/18701/30.png,84,ST,7,78,87,87,79,83,77,79,76,70,86,73,80,76,87,61,92,93,80,76,85,62,29,90,78,90,92,24,32,24,7,11,15,14,11,"Power Shot +,Power Header,Flair,Trickster,Trivela,Acrobatic,Aerial,Long Shot Taker (CPU AI)"
232656,2024-07-08,Theo Hernández,Theo Bernard François Hernández,"Theo Hernández (Theo Bernard François Hernández, born 6 October 1997) is a French footballer who plays as a left back for Italian club Milan, and the France national team. In the game FC 24, his overall rating is 85.",https://cdn.sofifa.net/players/232/656/24_120.png,184,81,1997-10-06,"LB,LM,CB",85,88,€66M,€90K,Left,3 ,3 ,3 ,High/Medium,Unique,Yes,€117.2M,Speedster,47,Milan,31,Serie A,https://cdn.sofifa.net/meta/team/113/30.png,81,LB,19,2019-07-05,2026,1335,France,78,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,84,LB,22,84,67,74,81,78,83,74,75,68,79,92,94,78,85,76,84,90,90,81,75,82,78,80,73,75,80,74,81,80,12,10,7,7,7,"Rapid,Quick Step,Relentless,Long Throw,Long Shot Taker (CPU AI),Early Crosser (CPU AI),Leadership"
215914,2024-07-08,N'Golo Kanté,N'Golo Kanté,"N'Golo Kanté (born 29 March 1991) is a French footballer who plays as a central defensive midfielder for Saudi Arabian club Al Ittihad. In the game FC 24, his overall rating is 85.",https://cdn.sofifa.net/players/215/914/24_120.png,168,70,1991-03-29,"CDM,CM",85,85,€36M,€67K,Right,3 ,2 ,4 ,Medium/High,Unique,Yes,€57.6M,"Tackling,Tactician",607,Al Ittihad,350,Pro League,https://cdn.sofifa.net/meta/team/476/30.png,75,RDM,7,2023-07-01,2026,,,,,,,,,68,64,54,80,56,78,49,49,74,81,74,64,78,87,92,71,70,82,70,65,87,88,72,77,54,82,88,90,85,15,12,10,7,10,"Intercept +,Relentless,Injury Prone"
197445,2024-07-08,David Alaba,David Olatukunbo Alaba,"David Alaba (David Olatukunbo Alaba, born 24 June 1992) is an Austrian footballer who plays as a center back for Spanish club Real Madrid. In the game FC 24, his overall rating is 85.",https://cdn.sofifa.net/players/197/445/24_120.png,180,78,1992-06-24,"CB,LB",85,85,€37M,€200K,Left,4 ,3 ,4 ,Medium/High,Normal (170-185),Yes,€75.9M,Tactician,243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,SUB,4,2021-07-01,2026,,,,,,,,,83,62,77,88,67,77,76,85,80,83,79,79,76,88,78,82,86,73,78,78,77,87,73,78,79,84,89,84,83,5,7,14,15,9,"Dead Ball,Anticipate,Long Shot Taker (CPU AI)"
235805,2024-07-08,Federico Chiesa,Federico Chiesa,"Federico Chiesa (born 25 October 1997) is an Italian footballer who plays as a left midfield for Italian club Juventus, and the Italy national team. In the game FC 24, his overall rating is 84.",https://cdn.sofifa.net/players/235/805/24_120.png,175,70,1997-10-25,"LM,ST,LW",84,85,€50.5M,€140K,Right,4 ,4 ,3 ,High/Medium,Unique,Yes,€89.6M,"Speedster,Dribbler,Acrobat",45,Juventus,31,Serie A,https://cdn.sofifa.net/meta/team/625/30.png,80,LS,7,2022-07-01,2025,1343,Italy,78,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,82,LW,14,75,83,53,78,84,89,78,62,76,83,92,92,89,84,84,86,76,85,70,84,74,54,84,77,62,82,51,51,48,6,7,8,9,7,"Rapid +,Finesse Shot,Flair,Quick Step,Trivela,Long Shot Taker (CPU AI)"
213331,2024-07-08,Jonathan Tah,Jonathan Tah,"Jonathan Tah (born 11 February 1996) is a German footballer who plays as a center back for German club Bayer 04 Leverkusen, and the Germany national team. In the game FC 24, his overall rating is 84.",https://cdn.sofifa.net/players/213/331/24_120.png,195,94,1996-02-11,CB,84,85,€42.5M,€74K,Right,4 ,2 ,2 ,Low/Medium,Stocky (185+),Yes,€75.4M,"Aerial threat,Strength",32,Bayer 04 Leverkusen,19,Bundesliga,https://cdn.sofifa.net/meta/team/3321/30.png,82,CB,4,2015-07-16,2025,1337,Germany,78,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,85,LCB,4,39,32,86,78,33,60,37,27,68,67,55,79,49,83,40,60,87,75,92,26,83,82,36,56,38,79,85,85,80,11,8,7,9,14,"Solid Player,Leadership"
201024,2024-07-08,Kalidou Koulibaly,Kalidou Koulibaly,"Kalidou Koulibaly (born 20 June 1991) is a Senegalese footballer who plays as a center back for Saudi Arabian club Al Hilal. In the game FC 24, his overall rating is 84.",https://cdn.sofifa.net/players/201/024/24_120.png,186,93,1991-06-20,CB,84,84,€27.5M,€62K,Right,4 ,2 ,3 ,Medium/High,Unique,Yes,€44M,Strength,605,Al Hilal,350,Pro League,https://cdn.sofifa.net/meta/team/7011/30.png,78,RCB,3,2023-07-01,2026,,,,,,,,,50,43,82,71,48,70,53,39,69,72,66,85,45,84,33,67,82,74,91,38,84,83,50,65,50,82,86,85,83,7,11,7,13,5,"Power Header,Block,Anticipate,Bruiser"
192629,2024-07-08,Iago Aspas,Iago Aspas Juncal,"Iago Aspas (born 1 August 1987) is a Spanish footballer who plays as a striker for Spanish club Celta de Vigo. In the game FC 24, his overall rating is 84.",https://cdn.sofifa.net/players/192/629/24_120.png,176,67,1987-08-01,ST,84,84,€18M,€35K,Left,4 ,3 ,3 ,High/High,Lean (170-185),Yes,€37.8M,Clinical finisher,450,Celta de Vigo,53,La Liga,https://cdn.sofifa.net/meta/team/36/30.png,76,RS,10,2015-07-01,2025,,,,,,,,,80,90,77,79,82,87,79,83,73,87,78,83,85,86,72,82,80,69,61,81,65,39,88,81,82,85,39,21,18,12,16,9,12,13,"Chip Shot +,Finesse Shot,Dead Ball,Incisive Pass,Trivela,Team Player,Leadership"
188377,2024-07-08,Kyle Walker,Kyle Walker,"Kyle Walker (born 28 May 1990) is a British footballer who plays as a right back for British club Manchester City, and the England national team. In the game FC 24, his overall rating is 84.",https://cdn.sofifa.net/players/188/377/24_120.png,183,83,1990-05-28,RB,84,84,€22M,€155K,Right,2 ,3 ,3 ,High/High,Unique,Yes,€40.7M,,10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,RB,2,2017-07-14,2026,1318,England,78,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,85,RB,2,77,51,72,81,57,79,76,71,81,81,85,94,66,85,69,86,87,81,80,69,84,78,68,69,63,75,75,85,83,12,6,16,15,8,"Jockey,Rapid,Long Throw"
176580,2024-07-08,Luis Suárez,Luis Alberto Suárez Díaz,"Luis Suárez (Luis Alberto Suárez Díaz, born 24 January 1987) is a Uruguayan footballer who plays as a striker for American club Inter Miami. In the game FC 24, his overall rating is 84.",https://cdn.sofifa.net/players/176/580/24_120.png,182,86,1987-01-24,ST,84,84,€14.5M,€14K,Right,4 ,3 ,4 ,High/Medium,Unique,Yes,€20.3M,Clinical finisher,112893,Inter Miami,39,Major League Soccer,https://cdn.sofifa.net/meta/team/239235/30.png,75,ST,9,2024-01-01,2024,,,,,,,,,75,87,83,78,88,77,85,81,73,81,65,64,66,86,71,86,79,53,81,84,87,35,90,80,82,86,35,38,35,27,25,31,33,37,"Trivela,Team Player"
201535,2024-07-08,Raphaël Varane,Raphaël Varane,"Raphaël Varane (born 25 April 1993) is a French footballer who plays as a center back for British club Manchester United. In the game FC 24, his overall rating is 83.",https://cdn.sofifa.net/players/201/535/24_120.png,191,81,1993-04-25,CB,83,83,€30M,€135K,Right,4 ,2 ,3 ,Medium/Medium,Unique,Yes,€57M,,11,Manchester United,13,Premier League,https://cdn.sofifa.net/meta/team/14/30.png,81,SUB,19,2021-07-27,2024,,,,,,,,,42,46,84,78,42,67,46,52,76,75,73,80,60,81,39,52,90,58,84,53,78,83,55,59,43,79,84,86,79,11,11,9,5,14,"Anticipate,Aerial,Injury Prone"
199845,2024-07-08,Francesco Acerbi,Francesco Acerbi,"Francesco Acerbi (born 10 February 1988) is an Italian footballer who plays as a center back for Italian club Inter, and the Italy national team. In the game FC 24, his overall rating is 83.",https://cdn.sofifa.net/players/199/845/24_120.png,192,88,1988-02-10,CB,83,83,€9.5M,€67K,Left,3 ,3 ,3 ,Medium/High,Normal (185+),Yes,€15.7M,,44,Inter,31,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,83,CB,15,2023-07-01,2025,1343,Italy,78,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,82,RCB,15,34,37,84,76,39,65,58,56,79,71,61,59,38,83,33,75,86,68,85,60,80,84,20,65,61,86,87,89,82,11,9,9,13,11,"Long Ball Pass,Block,Bruiser,Aerial"
241651,2024-07-08,Viktor Gyökeres,Viktor Einar Gyökeres,"Viktor Gyökeres (Viktor Einar Gyökeres, born 4 June 1998) is a Swedish footballer who plays as a striker for Portuguese club Sporting CP, and the Sweden national team. In the game FC 24, his overall rating is 82.",https://cdn.sofifa.net/players/241/651/24_120.png,187,90,1998-06-04,"ST,LW,CF",82,87,€45M,€22K,Right,4 ,3 ,1 ,High/Medium,Normal (185+),Yes,€93.4M,Strength,237,Sporting CP,308,Primeira Liga,https://cdn.sofifa.net/meta/team/58/30.png,78,ST,9,2023-07-13,2028,1363,Sweden,78,Friendly International,https://cdn.sofifa.net/meta/team/18564/30.png,77,RS,17,61,85,78,73,74,81,70,59,52,80,85,88,70,79,81,85,94,93,90,72,82,28,83,74,79,79,34,34,16,10,13,11,14,8,"Press Proven,Solid Player,Leadership"
228618,2024-07-08,Ferland Mendy,Ferland Mendy,"Ferland Mendy (born 8 June 1995) is a French footballer who plays as a left back for Spanish club Real Madrid. In the game FC 24, his overall rating is 82.",https://cdn.sofifa.net/players/228/618/24_120.png,180,73,1995-06-08,LB,82,82,€27.5M,€160K,Left,5 ,4 ,1 ,Medium/High,Unique,Yes,€56.4M,,243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,LB,23,2019-07-01,2025,,,,,,,,,76,63,72,79,50,75,72,45,77,74,88,89,80,79,79,69,90,89,84,64,81,78,77,75,49,77,78,79,78,7,16,9,10,9,"Block,Rapid,Flair"
216201,2024-07-08,Iñaki Williams,Iñaki Williams Arthuer,"Iñaki Williams (born 15 June 1994) is a Ghanaian footballer who plays as a right midfield for Spanish club Athletic Club, and the Ghana national team. In the game FC 24, his overall rating is 82.",https://cdn.sofifa.net/players/216/201/24_120.png,186,80,1994-06-15,"RM,ST",82,82,€30M,€40K,Right,3 ,4 ,2 ,High/Medium,Lean (185+),Yes,€63M,Speedster,448,Athletic Club,53,La Liga,https://cdn.sofifa.net/meta/team/13258/30.png,80,RM,9,2012-08-01,2028,111462,Ghana,78,Friendly International,https://cdn.sofifa.net/meta/team/18553/30.png,75,RM,19,78,82,80,74,79,83,80,58,62,80,93,94,77,83,62,85,95,88,84,76,76,30,85,73,68,78,42,48,38,14,15,14,10,13,"Chip Shot,Rapid,Quick Step,Trivela,Solid Player,Team Player"
190941,2024-07-08,Lukáš Hrádecký,Lukáš Hrádecký,"Lukáš Hrádecký (born 24 November 1989) is a Finnish footballer who plays as a goalkeeper for German club Bayer 04 Leverkusen, and the Finland national team. In the game FC 24, his overall rating is 82.",https://cdn.sofifa.net/players/190/941/24_120.png,192,85,1989-11-24,GK,82,82,€10M,€50K,Right,3 ,1 ,3 ,Medium/Medium,Normal (185+),Yes,€17M,,32,Bayer 04 Leverkusen,19,Bundesliga,https://cdn.sofifa.net/meta/team/3321/30.png,82,GK,1,2018-07-01,2026,1334,Finland,78,Friendly International,https://cdn.sofifa.net/meta/team/18570/30.png,71,GK,1,11,11,11,30,9,10,11,15,33,20,38,44,43,81,39,50,59,34,55,14,31,18,9,53,20,45,10,10,13,84,78,66,80,87,"Footwork,Team Player,Leadership"
189332,2024-07-08,Jordi Alba,Jordi Alba Ramos,"Jordi Alba (born 21 March 1989) is a Spanish footballer who plays as a left back for American club Inter Miami. In the game FC 24, his overall rating is 82.",https://cdn.sofifa.net/players/189/332/24_120.png,170,68,1989-03-21,"LB,LWB",82,82,€11M,€13K,Left,3 ,3 ,3 ,High/Medium,Unique,Yes,€15.4M,,112893,Inter Miami,39,Major League Soccer,https://cdn.sofifa.net/meta/team/239235/30.png,75,LB,18,2023-07-21,2024,,,,,,,,,83,73,70,85,75,79,82,63,81,82,84,81,83,79,84,64,76,83,58,66,75,78,83,77,59,80,70,75,75,13,15,13,6,13,"Jockey,Block,Anticipate,Rapid,Early Crosser (CPU AI)"
